accuracy,loss,val_accuracy,val_loss
0.5874999761581421,3.8119137287139893,0.63919997215271,0.6282256841659546
0.6990500092506409,0.827217698097229,0.7009999752044678,0.5550453662872314
0.7035999894142151,3941499142144.0,0.6759999990463257,0.5902238488197327
0.7580999732017517,0.5043201446533203,0.6941999793052673,0.5732223987579346
0.8274000287055969,0.40215012431144714,0.754800021648407,0.5010431408882141
0.8773000240325928,0.3029155433177948,0.7893999814987183,0.4839969873428345
0.9079499840736389,0.24105972051620483,0.8137999773025513,0.4459282159805298
0.9280499815940857,0.1933685839176178,0.8151999711990356,0.461749792098999
0.9416499733924866,0.16661874949932098,0.8068000078201294,0.5194090604782104
0.9560499787330627,0.13104410469532013,0.8047999739646912,0.5234737396240234
